continent,country,year,lifeExp
Africa,Botswana,1992,62.745
Africa,Botswana,1997,52.556
Africa,Botswana,2002,46.63399999999999
Africa,Botswana,2007,50.728
Americas,Brazil,1952,50.917
Americas,Brazil,1957,53.285
Americas,Brazil,1962,55.665
Americas,Brazil,1967,57.632
Americas,Brazil,1972,59.504
Americas,Brazil,1977,61.489
Americas,Brazil,1982,63.33600000000001
Americas,Brazil,1987,65.205
Americas,Brazil,1992,67.057
Americas,Brazil,1997,69.388
Americas,Brazil,2002,71.006
Americas,Brazil,2007,72.39
Europe,Bulgaria,1952,59.6
Europe,Bulgaria,1957,66.61
Europe,Bulgaria,1962,69.51
Europe,Bulgaria,1967,70.42
Europe,Bulgaria,1972,70.9
Europe,Bulgaria,1977,70.81
Europe,Bulgaria,1982,71.08
Europe,Bulgaria,1987,71.34
Europe,Bulgaria,1992,71.19
Europe,Bulgaria,1997,70.32
Europe,Bulgaria,2002,72.14
Europe,Bulgaria,2007,73.005
Africa,Burkina Faso,1952,31.975
Africa,Burkina Faso,1957,34.906
Africa,Burkina Faso,1962,37.814
Africa,Burkina Faso,1967,40.697
Africa,Burkina Faso,1972,43.591
Africa,Burkina Faso,1977,46.137
Africa,Burkina Faso,1982,48.122
Africa,Burkina Faso,1987,49.557
Africa,Burkina Faso,1992,50.26
Africa,Burkina Faso,1997,50.324
Africa,Burkina Faso,2002,50.65
Africa,Burkina Faso,2007,52.295
Africa,Burundi,1952,39.031
Africa,Burundi,1957,40.533
Africa,Burundi,1962,42.045
Africa,Burundi,1967,43.548
Africa,Burundi,1972,44.057
Africa,Burundi,1977,45.91
Africa,Burundi,1982,47.471
Africa,Burundi,1987,48.21100000000001
Africa,Burundi,1992,44.736
Africa,Burundi,1997,45.326
Africa,Burundi,2002,47.36
Africa,Burundi,2007,49.58
Asia,Cambodia,1952,39.417
Asia,Cambodia,1957,41.36600000000001
Asia,Cambodia,1962,43.415
Asia,Cambodia,1967,45.415
Asia,Cambodia,1972,40.317
Asia,Cambodia,1977,31.22
Asia,Cambodia,1982,50.957
Asia,Cambodia,1987,53.914
Asia,Cambodia,1992,55.803
Asia,Cambodia,1997,56.534
Asia,Cambodia,2002,56.752
Asia,Cambodia,2007,59.723
Africa,Cameroon,1952,38.523
Africa,Cameroon,1957,40.428
Africa,Cameroon,1962,42.643
Africa,Cameroon,1967,44.799
Africa,Cameroon,1972,47.049
Africa,Cameroon,1977,49.355
Africa,Cameroon,1982,52.96100000000001
Africa,Cameroon,1987,54.985
Africa,Cameroon,1992,54.31399999999999
Africa,Cameroon,1997,52.199
Africa,Cameroon,2002,49.856
Africa,Cameroon,2007,50.43
Americas,Canada,1952,68.75
Americas,Canada,1957,69.96
Americas,Canada,1962,71.3
Americas,Canada,1967,72.13
Americas,Canada,1972,72.88
Americas,Canada,1977,74.21
Americas,Canada,1982,75.76
Americas,Canada,1987,76.86
Americas,Canada,1992,77.95
Americas,Canada,1997,78.61
Americas,Canada,2002,79.77
Americas,Canada,2007,80.653
Africa,Central African Republic,1952,35.463
Africa,Central African Republic,1957,37.464
Africa,Central African Republic,1962,39.475
Africa,Central African Republic,1967,41.478
Africa,Central African Republic,1972,43.457
Africa,Central African Republic,1977,46.775
Africa,Central African Republic,1982,48.295
Africa,Central African Republic,1987,50.485
Africa,Central African Republic,1992,49.396
Africa,Central African Republic,1997,46.066
Africa,Central African Republic,2002,43.308
Africa,Central African Republic,2007,44.74100000000001
Africa,Chad,1952,38.092
Africa,Chad,1957,39.881
Africa,Chad,1962,41.716
Africa,Chad,1967,43.601000000000006
Africa,Chad,1972,45.569
Africa,Chad,1977,47.383
Africa,Chad,1982,49.517
Africa,Chad,1987,51.051
Africa,Chad,1992,51.724
Africa,Chad,1997,51.573
Africa,Chad,2002,50.525
Africa,Chad,2007,50.651
Americas,Chile,1952,54.745
Americas,Chile,1957,56.074
Americas,Chile,1962,57.924
Americas,Chile,1967,60.523
Americas,Chile,1972,63.441
Americas,Chile,1977,67.05199999999999
Americas,Chile,1982,70.565
Americas,Chile,1987,72.492
Americas,Chile,1992,74.126
Americas,Chile,1997,75.816
Americas,Chile,2002,77.86
Americas,Chile,2007,78.553
Asia,China,1952,44.0
Asia,China,1957,50.54896
Asia,China,1962,44.50136
Asia,China,1967,58.38112
Asia,China,1972,63.11888
Asia,China,1977,63.96736
Asia,China,1982,65.525
Asia,China,1987,67.274
Asia,China,1992,68.69
Asia,China,1997,70.426
Asia,China,2002,72.028
Asia,China,2007,72.961
Americas,Colombia,1952,50.643
Americas,Colombia,1957,55.118
Americas,Colombia,1962,57.863
Americas,Colombia,1967,59.963
Americas,Colombia,1972,61.62300000000001
Americas,Colombia,1977,63.837
Americas,Colombia,1982,66.653
Americas,Colombia,1987,67.768
Americas,Colombia,1992,68.421
Americas,Colombia,1997,70.313
Americas,Colombia,2002,71.682
Americas,Colombia,2007,72.889
Africa,Comoros,1952,40.715
Africa,Comoros,1957,42.46
Africa,Comoros,1962,44.467
Africa,Comoros,1967,46.472
Africa,Comoros,1972,48.944
Africa,Comoros,1977,50.93899999999999
Africa,Comoros,1982,52.933
Africa,Comoros,1987,54.926
Africa,Comoros,1992,57.93899999999999
Africa,Comoros,1997,60.66
Africa,Comoros,2002,62.974
Africa,Comoros,2007,65.152
Africa,"Congo, Dem. Rep.",1952,39.143
Africa,"Congo, Dem. Rep.",1957,40.652
Africa,"Congo, Dem. Rep.",1962,42.122
Africa,"Congo, Dem. Rep.",1967,44.056
Africa,"Congo, Dem. Rep.",1972,45.989
Africa,"Congo, Dem. Rep.",1977,47.804
Africa,"Congo, Dem. Rep.",1982,47.784
Africa,"Congo, Dem. Rep.",1987,47.412
Africa,"Congo, Dem. Rep.",1992,45.548
Africa,"Congo, Dem. Rep.",1997,42.587
Africa,"Congo, Dem. Rep.",2002,44.966
Africa,"Congo, Dem. Rep.",2007,46.462
Africa,"Congo, Rep.",1952,42.111
Africa,"Congo, Rep.",1957,45.053
Africa,"Congo, Rep.",1962,48.435
Africa,"Congo, Rep.",1967,52.04
Africa,"Congo, Rep.",1972,54.907
Africa,"Congo, Rep.",1977,55.625
Africa,"Congo, Rep.",1982,56.695
Africa,"Congo, Rep.",1987,57.47
Africa,"Congo, Rep.",1992,56.433
Africa,"Congo, Rep.",1997,52.962
Africa,"Congo, Rep.",2002,52.97
Africa,"Congo, Rep.",2007,55.322
Americas,Costa Rica,1952,57.206
Americas,Costa Rica,1957,60.026
Americas,Costa Rica,1962,62.842
Americas,Costa Rica,1967,65.42399999999999
Americas,Costa Rica,1972,67.84899999999999
Americas,Costa Rica,1977,70.75
Americas,Costa Rica,1982,73.45
Americas,Costa Rica,1987,74.752
Americas,Costa Rica,1992,75.71300000000002
Americas,Costa Rica,1997,77.26
Americas,Costa Rica,2002,78.123
Americas,Costa Rica,2007,78.782
Africa,Cote d'Ivoire,1952,40.477
Africa,Cote d'Ivoire,1957,42.469
Africa,Cote d'Ivoire,1962,44.93
Africa,Cote d'Ivoire,1967,47.35
Africa,Cote d'Ivoire,1972,49.801
Africa,Cote d'Ivoire,1977,52.374
Africa,Cote d'Ivoire,1982,53.983
Africa,Cote d'Ivoire,1987,54.655
Africa,Cote d'Ivoire,1992,52.044
Africa,Cote d'Ivoire,1997,47.99100000000001
Africa,Cote d'Ivoire,2002,46.832
Africa,Cote d'Ivoire,2007,48.328
Europe,Croatia,1952,61.21
Europe,Croatia,1957,64.77
Europe,Croatia,1962,67.13
Europe,Croatia,1967,68.5
Europe,Croatia,1972,69.61
Europe,Croatia,1977,70.64
Europe,Croatia,1982,70.46
Europe,Croatia,1987,71.52
Europe,Croatia,1992,72.527
Europe,Croatia,1997,73.68
Europe,Croatia,2002,74.876
Europe,Croatia,2007,75.748
Americas,Cuba,1952,59.42100000000001
Americas,Cuba,1957,62.325
Americas,Cuba,1962,65.24600000000001
Americas,Cuba,1967,68.29
Americas,Cuba,1972,70.723
Americas,Cuba,1977,72.649
Americas,Cuba,1982,73.717
Americas,Cuba,1987,74.17399999999998
Americas,Cuba,1992,74.414
Americas,Cuba,1997,76.15100000000002
Americas,Cuba,2002,77.158
Americas,Cuba,2007,78.273
Europe,Czech Republic,1952,66.87
Europe,Czech Republic,1957,69.03
Europe,Czech Republic,1962,69.9
Europe,Czech Republic,1967,70.38
Europe,Czech Republic,1972,70.29
Europe,Czech Republic,1977,70.71
Europe,Czech Republic,1982,70.96
Europe,Czech Republic,1987,71.58
Europe,Czech Republic,1992,72.4
Europe,Czech Republic,1997,74.01
Europe,Czech Republic,2002,75.51
Europe,Czech Republic,2007,76.486
Europe,Denmark,1952,70.78
Europe,Denmark,1957,71.81
Europe,Denmark,1962,72.35
Europe,Denmark,1967,72.96
Europe,Denmark,1972,73.47
Europe,Denmark,1977,74.69
Europe,Denmark,1982,74.63
Europe,Denmark,1987,74.8
Europe,Denmark,1992,75.33
Europe,Denmark,1997,76.11
Europe,Denmark,2002,77.18
Europe,Denmark,2007,78.332
Africa,Djibouti,1952,34.812
Africa,Djibouti,1957,37.328
Africa,Djibouti,1962,39.69300000000001
Africa,Djibouti,1967,42.074
Africa,Djibouti,1972,44.36600000000001
Africa,Djibouti,1977,46.519
Africa,Djibouti,1982,48.812
Africa,Djibouti,1987,50.04
Africa,Djibouti,1992,51.604
Africa,Djibouti,1997,53.157
Africa,Djibouti,2002,53.37300000000001
Africa,Djibouti,2007,54.791
Americas,Dominican Republic,1952,45.928
Americas,Dominican Republic,1957,49.828
Americas,Dominican Republic,1962,53.459
Americas,Dominican Republic,1967,56.75100000000001
Americas,Dominican Republic,1972,59.631
Americas,Dominican Republic,1977,61.788
Americas,Dominican Republic,1982,63.727
Americas,Dominican Republic,1987,66.046
Americas,Dominican Republic,1992,68.457
Americas,Dominican Republic,1997,69.957
Americas,Dominican Republic,2002,70.847
Americas,Dominican Republic,2007,72.235
Americas,Ecuador,1952,48.357
Americas,Ecuador,1957,51.356
Americas,Ecuador,1962,54.64
Americas,Ecuador,1967,56.678
Americas,Ecuador,1972,58.79600000000001
Americas,Ecuador,1977,61.31
Americas,Ecuador,1982,64.342
Americas,Ecuador,1987,67.23100000000001
Americas,Ecuador,1992,69.613
Americas,Ecuador,1997,72.312
Americas,Ecuador,2002,74.173
Americas,Ecuador,2007,74.994
Africa,Egypt,1952,41.893
Africa,Egypt,1957,44.444
Africa,Egypt,1962,46.992
Africa,Egypt,1967,49.293
Africa,Egypt,1972,51.137
Africa,Egypt,1977,53.319
Africa,Egypt,1982,56.006
Africa,Egypt,1987,59.797
Africa,Egypt,1992,63.674
Africa,Egypt,1997,67.217
Africa,Egypt,2002,69.806
Africa,Egypt,2007,71.33800000000002
Americas,El Salvador,1952,45.262
Americas,El Salvador,1957,48.57
Americas,El Salvador,1962,52.307
Americas,El Salvador,1967,55.855
Americas,El Salvador,1972,58.207
Americas,El Salvador,1977,56.69600000000001
Americas,El Salvador,1982,56.604
Americas,El Salvador,1987,63.154
Americas,El Salvador,1992,66.798
Americas,El Salvador,1997,69.535
Americas,El Salvador,2002,70.734
Americas,El Salvador,2007,71.878
Africa,Equatorial Guinea,1952,34.482
Africa,Equatorial Guinea,1957,35.98300000000001
Africa,Equatorial Guinea,1962,37.485
Africa,Equatorial Guinea,1967,38.987
Africa,Equatorial Guinea,1972,40.516
Africa,Equatorial Guinea,1977,42.024
Africa,Equatorial Guinea,1982,43.662
Africa,Equatorial Guinea,1987,45.664
Africa,Equatorial Guinea,1992,47.545
Africa,Equatorial Guinea,1997,48.245
Africa,Equatorial Guinea,2002,49.348
Africa,Equatorial Guinea,2007,51.57899999999999
Africa,Eritrea,1952,35.92800000000001
Africa,Eritrea,1957,38.047
Africa,Eritrea,1962,40.158
Africa,Eritrea,1967,42.18899999999999
Africa,Eritrea,1972,44.142
Africa,Eritrea,1977,44.535
Africa,Eritrea,1982,43.89
Africa,Eritrea,1987,46.453
Africa,Eritrea,1992,49.99100000000001
Africa,Eritrea,1997,53.378
Africa,Eritrea,2002,55.24
Africa,Eritrea,2007,58.04
Africa,Ethiopia,1952,34.078
Africa,Ethiopia,1957,36.667
Africa,Ethiopia,1962,40.059
Africa,Ethiopia,1967,42.115
Africa,Ethiopia,1972,43.515
Africa,Ethiopia,1977,44.51
Africa,Ethiopia,1982,44.916
Africa,Ethiopia,1987,46.684
Africa,Ethiopia,1992,48.091
Africa,Ethiopia,1997,49.402
Africa,Ethiopia,2002,50.725
Africa,Ethiopia,2007,52.947
Europe,Finland,1952,66.55
Europe,Finland,1957,67.49
Europe,Finland,1962,68.75
Europe,Finland,1967,69.83
Europe,Finland,1972,70.87
Europe,Finland,1977,72.52
Europe,Finland,1982,74.55
Europe,Finland,1987,74.83
Europe,Finland,1992,75.7
Europe,Finland,1997,77.13
Europe,Finland,2002,78.37
Europe,Finland,2007,79.313
Europe,France,1952,67.41
Europe,France,1957,68.93
Europe,France,1962,70.51
Europe,France,1967,71.55
Europe,France,1972,72.38
Europe,France,1977,73.83
Europe,France,1982,74.89
Europe,France,1987,76.34
Europe,France,1992,77.46
Europe,France,1997,78.64
Europe,France,2002,79.59
Europe,France,2007,80.657
Africa,Gabon,1952,37.003
Africa,Gabon,1957,38.999
Africa,Gabon,1962,40.489
Africa,Gabon,1967,44.598
Africa,Gabon,1972,48.69
Africa,Gabon,1977,52.79
Africa,Gabon,1982,56.56399999999999
Africa,Gabon,1987,60.19
Africa,Gabon,1992,61.36600000000001
Africa,Gabon,1997,60.46100000000001
Africa,Gabon,2002,56.761
Africa,Gabon,2007,56.735
Africa,Gambia,1952,30.0
Africa,Gambia,1957,32.065
Africa,Gambia,1962,33.896
Africa,Gambia,1967,35.857
Africa,Gambia,1972,38.308
Africa,Gambia,1977,41.842
Africa,Gambia,1982,45.58
Africa,Gambia,1987,49.265
Africa,Gambia,1992,52.644
Africa,Gambia,1997,55.861
Africa,Gambia,2002,58.041
Africa,Gambia,2007,59.448
Europe,Germany,1952,67.5
Europe,Germany,1957,69.1
Europe,Germany,1962,70.3
Europe,Germany,1967,70.8
Europe,Germany,1972,71.0
Europe,Germany,1977,72.5
Europe,Germany,1982,73.8
Europe,Germany,1987,74.847
Europe,Germany,1992,76.07
Europe,Germany,1997,77.34
Europe,Germany,2002,78.67
Europe,Germany,2007,79.406
Africa,Ghana,1952,43.149
Africa,Ghana,1957,44.779
Africa,Ghana,1962,46.452
Africa,Ghana,1967,48.072
Africa,Ghana,1972,49.875
Africa,Ghana,1977,51.756
Africa,Ghana,1982,53.744
Africa,Ghana,1987,55.729
Africa,Ghana,1992,57.50100000000001
Africa,Ghana,1997,58.556
Africa,Ghana,2002,58.453
Africa,Ghana,2007,60.022
Europe,Greece,1952,65.86
Europe,Greece,1957,67.86
Europe,Greece,1962,69.51
Europe,Greece,1967,71.0
Europe,Greece,1972,72.34
Europe,Greece,1977,73.68
Europe,Greece,1982,75.24
Europe,Greece,1987,76.67
Europe,Greece,1992,77.03
Europe,Greece,1997,77.869
Europe,Greece,2002,78.256
Europe,Greece,2007,79.483
Americas,Guatemala,1952,42.023
Americas,Guatemala,1957,44.142
Americas,Guatemala,1962,46.95399999999999
Americas,Guatemala,1967,50.01600000000001
Americas,Guatemala,1972,53.738
Americas,Guatemala,1977,56.029
Americas,Guatemala,1982,58.137
Americas,Guatemala,1987,60.782
Americas,Guatemala,1992,63.37300000000001
Americas,Guatemala,1997,66.322
Americas,Guatemala,2002,68.97800000000001
Americas,Guatemala,2007,70.259
Africa,Guinea,1952,33.609
Africa,Guinea,1957,34.558
Africa,Guinea,1962,35.753
Africa,Guinea,1967,37.197
Africa,Guinea,1972,38.842
Africa,Guinea,1977,40.762
Africa,Guinea,1982,42.89100000000001
Africa,Guinea,1987,45.552
Africa,Guinea,1992,48.576
Africa,Guinea,1997,51.455
Africa,Guinea,2002,53.676
Africa,Guinea,2007,56.007
Africa,Guinea-Bissau,1952,32.5
Africa,Guinea-Bissau,1957,33.489000000000004
Africa,Guinea-Bissau,1962,34.488
Africa,Guinea-Bissau,1967,35.492
Africa,Guinea-Bissau,1972,36.486
Africa,Guinea-Bissau,1977,37.465
Africa,Guinea-Bissau,1982,39.327
Africa,Guinea-Bissau,1987,41.245
Africa,Guinea-Bissau,1992,43.26600000000001
Africa,Guinea-Bissau,1997,44.87300000000001
Africa,Guinea-Bissau,2002,45.504
Africa,Guinea-Bissau,2007,46.38800000000001
Americas,Haiti,1952,37.579
Americas,Haiti,1957,40.696
Americas,Haiti,1962,43.59
Americas,Haiti,1967,46.243
Americas,Haiti,1972,48.042
Americas,Haiti,1977,49.923
Americas,Haiti,1982,51.46100000000001
Americas,Haiti,1987,53.636
Americas,Haiti,1992,55.089
Americas,Haiti,1997,56.67100000000001
Americas,Haiti,2002,58.137
Americas,Haiti,2007,60.916
Americas,Honduras,1952,41.912
Americas,Honduras,1957,44.665
Americas,Honduras,1962,48.041
Americas,Honduras,1967,50.924
Americas,Honduras,1972,53.88399999999999
Americas,Honduras,1977,57.402
Americas,Honduras,1982,60.909
Americas,Honduras,1987,64.492
Americas,Honduras,1992,66.399
Americas,Honduras,1997,67.65899999999999
Americas,Honduras,2002,68.565
Americas,Honduras,2007,70.19800000000001
Asia,"Hong Kong, China",1952,60.96
Asia,"Hong Kong, China",1957,64.75
Asia,"Hong Kong, China",1962,67.65
Asia,"Hong Kong, China",1967,70.0
Asia,"Hong Kong, China",1972,72.0
Asia,"Hong Kong, China",1977,73.6
Asia,"Hong Kong, China",1982,75.45
Asia,"Hong Kong, China",1987,76.2
Asia,"Hong Kong, China",1992,77.601
Asia,"Hong Kong, China",1997,80.0
Asia,"Hong Kong, China",2002,81.495
Asia,"Hong Kong, China",2007,82.208
Europe,Hungary,1952,64.03
Europe,Hungary,1957,66.41
Europe,Hungary,1962,67.96
Europe,Hungary,1967,69.5
Europe,Hungary,1972,69.76
Europe,Hungary,1977,69.95
Europe,Hungary,1982,69.39
Europe,Hungary,1987,69.58
Europe,Hungary,1992,69.17
Europe,Hungary,1997,71.04
Europe,Hungary,2002,72.59
Europe,Hungary,2007,73.33800000000002
Europe,Iceland,1952,72.49
Europe,Iceland,1957,73.47
Europe,Iceland,1962,73.68
Europe,Iceland,1967,73.73
Europe,Iceland,1972,74.46
Europe,Iceland,1977,76.11
Europe,Iceland,1982,76.99
Europe,Iceland,1987,77.23
Europe,Iceland,1992,78.77
Europe,Iceland,1997,78.95
Europe,Iceland,2002,80.5
Europe,Iceland,2007,81.757
Asia,India,1952,37.37300000000001
Asia,India,1957,40.249
Asia,India,1962,43.605
Asia,India,1967,47.19300000000001
Asia,India,1972,50.651
Asia,India,1977,54.208
Asia,India,1982,56.596
Asia,India,1987,58.553
Asia,India,1992,60.223
Asia,India,1997,61.765
Asia,India,2002,62.879
Asia,India,2007,64.69800000000001
Asia,Indonesia,1952,37.468
Asia,Indonesia,1957,39.918
Asia,Indonesia,1962,42.518
Asia,Indonesia,1967,45.964
Asia,Indonesia,1972,49.203
Asia,Indonesia,1977,52.702
Asia,Indonesia,1982,56.159
Asia,Indonesia,1987,60.137
Asia,Indonesia,1992,62.681
Asia,Indonesia,1997,66.041
Asia,Indonesia,2002,68.58800000000001
Asia,Indonesia,2007,70.65
Asia,Iran,1952,44.869
Asia,Iran,1957,47.181
Asia,Iran,1962,49.325
Asia,Iran,1967,52.469
Asia,Iran,1972,55.234
Asia,Iran,1977,57.702
Asia,Iran,1982,59.62
Asia,Iran,1987,63.04
Asia,Iran,1992,65.742
Asia,Iran,1997,68.042
Asia,Iran,2002,69.45100000000001
Asia,Iran,2007,70.964
Asia,Iraq,1952,45.32
Asia,Iraq,1957,48.437
Asia,Iraq,1962,51.457
Asia,Iraq,1967,54.459
Asia,Iraq,1972,56.95
Asia,Iraq,1977,60.413
Asia,Iraq,1982,62.038
Asia,Iraq,1987,65.044
Asia,Iraq,1992,59.46100000000001
Asia,Iraq,1997,58.81100000000001
Asia,Iraq,2002,57.04600000000001
Asia,Iraq,2007,59.545
Europe,Ireland,1952,66.91
Europe,Ireland,1957,68.9
Europe,Ireland,1962,70.29
Europe,Ireland,1967,71.08
Europe,Ireland,1972,71.28
Europe,Ireland,1977,72.03
Europe,Ireland,1982,73.1
Europe,Ireland,1987,74.36
Europe,Ireland,1992,75.467
Europe,Ireland,1997,76.122
Europe,Ireland,2002,77.783
Europe,Ireland,2007,78.885
Asia,Israel,1952,65.39
Asia,Israel,1957,67.84
Asia,Israel,1962,69.39
Asia,Israel,1967,70.75
Asia,Israel,1972,71.63
Asia,Israel,1977,73.06
Asia,Israel,1982,74.45
Asia,Israel,1987,75.6
Asia,Israel,1992,76.93
Asia,Israel,1997,78.26899999999998
Asia,Israel,2002,79.696
Asia,Israel,2007,80.745
Europe,Italy,1952,65.94
Europe,Italy,1957,67.81
Europe,Italy,1962,69.24
Europe,Italy,1967,71.06
Europe,Italy,1972,72.19
Europe,Italy,1977,73.48
Europe,Italy,1982,74.98
Europe,Italy,1987,76.42
Europe,Italy,1992,77.44
Europe,Italy,1997,78.82
Europe,Italy,2002,80.24
Europe,Italy,2007,80.546
Americas,Jamaica,1952,58.53
Americas,Jamaica,1957,62.61
Americas,Jamaica,1962,65.61
Americas,Jamaica,1967,67.51
Americas,Jamaica,1972,69.0
Americas,Jamaica,1977,70.11
Americas,Jamaica,1982,71.21
Americas,Jamaica,1987,71.77
Americas,Jamaica,1992,71.766
Americas,Jamaica,1997,72.262
Americas,Jamaica,2002,72.047
Americas,Jamaica,2007,72.567
Asia,Japan,1952,63.03
Asia,Japan,1957,65.5
Asia,Japan,1962,68.73
Asia,Japan,1967,71.43
Asia,Japan,1972,73.42
Asia,Japan,1977,75.38
Asia,Japan,1982,77.11
Asia,Japan,1987,78.67
Asia,Japan,1992,79.36
Asia,Japan,1997,80.69
Asia,Japan,2002,82.0
Asia,Japan,2007,82.603
Asia,Jordan,1952,43.158
Asia,Jordan,1957,45.669
Asia,Jordan,1962,48.12600000000001
Asia,Jordan,1967,51.629
Asia,Jordan,1972,56.528
Asia,Jordan,1977,61.13399999999999
Asia,Jordan,1982,63.739
Asia,Jordan,1987,65.869
Asia,Jordan,1992,68.015
Asia,Jordan,1997,69.77199999999999
Asia,Jordan,2002,71.263
Asia,Jordan,2007,72.535
