continent,country,year,gdpPercap
Europe,Austria,1952,6137.076492
Europe,Austria,1957,8842.59803
Europe,Austria,1962,10750.72111
Europe,Austria,1967,12834.6024
Europe,Austria,1972,16661.6256
Europe,Austria,1977,19749.4223
Europe,Austria,1982,21597.08362
Europe,Austria,1987,23687.82607
Europe,Austria,1992,27042.01868
Europe,Austria,1997,29095.920660000003
Europe,Austria,2002,32417.60769
Europe,Austria,2007,36126.4927
Asia,Bahrain,1952,9867.084765
Asia,Bahrain,1957,11635.79945
Asia,Bahrain,1962,12753.27514
Asia,Bahrain,1967,14804.6727
Asia,Bahrain,1972,18268.65839
Asia,Bahrain,1977,19340.10196
Asia,Bahrain,1982,19211.14731
Asia,Bahrain,1987,18524.02406
Asia,Bahrain,1992,19035.57917
Asia,Bahrain,1997,20292.01679
Asia,Bahrain,2002,23403.55927
Asia,Bahrain,2007,29796.04834
Asia,Bangladesh,1952,684.2441716
Asia,Bangladesh,1957,661.6374577
Asia,Bangladesh,1962,686.3415537999998
Asia,Bangladesh,1967,721.1860862000002
Asia,Bangladesh,1972,630.2336265
Asia,Bangladesh,1977,659.8772322000002
Asia,Bangladesh,1982,676.9818656
Asia,Bangladesh,1987,751.9794035
Asia,Bangladesh,1992,837.8101642999999
Asia,Bangladesh,1997,972.7700352
Asia,Bangladesh,2002,1136.3904300000004
Asia,Bangladesh,2007,1391.253792
Europe,Belgium,1952,8343.105126999999
Europe,Belgium,1957,9714.960623
Europe,Belgium,1962,10991.20676
Europe,Belgium,1967,13149.04119
Europe,Belgium,1972,16672.14356
Europe,Belgium,1977,19117.97448
Europe,Belgium,1982,20979.84589
Europe,Belgium,1987,22525.56308
Europe,Belgium,1992,25575.57069
Europe,Belgium,1997,27561.19663
Europe,Belgium,2002,30485.88375
Europe,Belgium,2007,33692.60508
Africa,Benin,1952,1062.7522
Africa,Benin,1957,959.6010805
Africa,Benin,1962,949.4990641
Africa,Benin,1967,1035.831411
Africa,Benin,1972,1085.796879
Africa,Benin,1977,1029.161251
Africa,Benin,1982,1277.897616
Africa,Benin,1987,1225.85601
Africa,Benin,1992,1191.207681
Africa,Benin,1997,1232.975292
Africa,Benin,2002,1372.877931
Africa,Benin,2007,1441.284873
Americas,Bolivia,1952,2677.326347
Americas,Bolivia,1957,2127.686326
Americas,Bolivia,1962,2180.972546
Americas,Bolivia,1967,2586.886053
Americas,Bolivia,1972,2980.331339
Americas,Bolivia,1977,3548.097832
Americas,Bolivia,1982,3156.510452
Americas,Bolivia,1987,2753.69149
Americas,Bolivia,1992,2961.699694
Americas,Bolivia,1997,3326.143191
Americas,Bolivia,2002,3413.26269
Americas,Bolivia,2007,3822.137084
Europe,Bosnia and Herzegovina,1952,973.5331948
Europe,Bosnia and Herzegovina,1957,1353.989176
Europe,Bosnia and Herzegovina,1962,1709.683679
Europe,Bosnia and Herzegovina,1967,2172.3524230000007
Europe,Bosnia and Herzegovina,1972,2860.16975
Europe,Bosnia and Herzegovina,1977,3528.481305
Europe,Bosnia and Herzegovina,1982,4126.613157
Europe,Bosnia and Herzegovina,1987,4314.114757
Europe,Bosnia and Herzegovina,1992,2546.781445
Europe,Bosnia and Herzegovina,1997,4766.355904
Europe,Bosnia and Herzegovina,2002,6018.975239
Europe,Bosnia and Herzegovina,2007,7446.298803
Africa,Botswana,1952,851.2411407
Africa,Botswana,1957,918.2325349
Africa,Botswana,1962,983.6539764
Africa,Botswana,1967,1214.709294
Africa,Botswana,1972,2263.6111140000007
Africa,Botswana,1977,3214.857818
Africa,Botswana,1982,4551.14215
Africa,Botswana,1987,6205.88385
Africa,Botswana,1992,7954.111645
Africa,Botswana,1997,8647.142313
Africa,Botswana,2002,11003.60508
Africa,Botswana,2007,12569.85177
Americas,Brazil,1952,2108.944355
Americas,Brazil,1957,2487.365989
Americas,Brazil,1962,3336.585802
Americas,Brazil,1967,3429.864357
Americas,Brazil,1972,4985.711467
Americas,Brazil,1977,6660.118654
Americas,Brazil,1982,7030.835878
Americas,Brazil,1987,7807.095818000002
Americas,Brazil,1992,6950.283020999998
Americas,Brazil,1997,7957.980823999998
Americas,Brazil,2002,8131.212843000001
Americas,Brazil,2007,9065.800825
Europe,Bulgaria,1952,2444.286648
Europe,Bulgaria,1957,3008.670727
Europe,Bulgaria,1962,4254.337839
Europe,Bulgaria,1967,5577.0028
Europe,Bulgaria,1972,6597.494398
Europe,Bulgaria,1977,7612.240438
Europe,Bulgaria,1982,8224.191647
Europe,Bulgaria,1987,8239.854824
Europe,Bulgaria,1992,6302.623438000001
Europe,Bulgaria,1997,5970.38876
Europe,Bulgaria,2002,7696.777725
Europe,Bulgaria,2007,10680.79282
Africa,Burkina Faso,1952,543.2552413
Africa,Burkina Faso,1957,617.1834647999998
Africa,Burkina Faso,1962,722.5120206
Africa,Burkina Faso,1967,794.8265597
Africa,Burkina Faso,1972,854.7359763000002
Africa,Burkina Faso,1977,743.3870368
Africa,Burkina Faso,1982,807.1985855
Africa,Burkina Faso,1987,912.0631417
Africa,Burkina Faso,1992,931.7527731
Africa,Burkina Faso,1997,946.2949618
Africa,Burkina Faso,2002,1037.645221
Africa,Burkina Faso,2007,1217.032994
Africa,Burundi,1952,339.2964587
Africa,Burundi,1957,379.5646281000001
Africa,Burundi,1962,355.2032273
Africa,Burundi,1967,412.97751360000007
Africa,Burundi,1972,464.0995039
Africa,Burundi,1977,556.1032651
Africa,Burundi,1982,559.6032309999998
Africa,Burundi,1987,621.8188188999999
Africa,Burundi,1992,631.6998778
Africa,Burundi,1997,463.1151478
Africa,Burundi,2002,446.4035126
Africa,Burundi,2007,430.0706916
Asia,Cambodia,1952,368.4692856
Asia,Cambodia,1957,434.0383364
Asia,Cambodia,1962,496.9136476
Asia,Cambodia,1967,523.4323142
Asia,Cambodia,1972,421.6240257
Asia,Cambodia,1977,524.9721831999999
Asia,Cambodia,1982,624.4754784
Asia,Cambodia,1987,683.8955732000002
Asia,Cambodia,1992,682.3031755
Asia,Cambodia,1997,734.28517
Asia,Cambodia,2002,896.2260152999999
Asia,Cambodia,2007,1713.778686
Africa,Cameroon,1952,1172.667655
Africa,Cameroon,1957,1313.048099
Africa,Cameroon,1962,1399.607441
Africa,Cameroon,1967,1508.453148
Africa,Cameroon,1972,1684.1465280000002
Africa,Cameroon,1977,1783.432873
Africa,Cameroon,1982,2367.983282
Africa,Cameroon,1987,2602.664206
Africa,Cameroon,1992,1793.1632780000002
Africa,Cameroon,1997,1694.337469
Africa,Cameroon,2002,1934.011449
Africa,Cameroon,2007,2042.09524
Americas,Canada,1952,11367.16112
Americas,Canada,1957,12489.95006
Americas,Canada,1962,13462.48555
Americas,Canada,1967,16076.58803
Americas,Canada,1972,18970.57086
Americas,Canada,1977,22090.88306
Americas,Canada,1982,22898.79214
Americas,Canada,1987,26626.51503
Americas,Canada,1992,26342.88426
Americas,Canada,1997,28954.92589
Americas,Canada,2002,33328.96507
Americas,Canada,2007,36319.23501
Africa,Central African Republic,1952,1071.310713
Africa,Central African Republic,1957,1190.844328
Africa,Central African Republic,1962,1193.068753
Africa,Central African Republic,1967,1136.056615
Africa,Central African Republic,1972,1070.013275
Africa,Central African Republic,1977,1109.374338
Africa,Central African Republic,1982,956.7529907
Africa,Central African Republic,1987,844.8763504000002
Africa,Central African Republic,1992,747.9055252
Africa,Central African Republic,1997,740.5063317
Africa,Central African Republic,2002,738.6906068
Africa,Central African Republic,2007,706.016537
Africa,Chad,1952,1178.665927
Africa,Chad,1957,1308.495577
Africa,Chad,1962,1389.817618
Africa,Chad,1967,1196.810565
Africa,Chad,1972,1104.103987
Africa,Chad,1977,1133.98495
Africa,Chad,1982,797.9081006
Africa,Chad,1987,952.386129
Africa,Chad,1992,1058.0643
Africa,Chad,1997,1004.961353
Africa,Chad,2002,1156.18186
Africa,Chad,2007,1704.063724
Americas,Chile,1952,3939.978789
Americas,Chile,1957,4315.622723
Americas,Chile,1962,4519.094331
Americas,Chile,1967,5106.654313
Americas,Chile,1972,5494.024437
Americas,Chile,1977,4756.763836
Americas,Chile,1982,5095.6657380000015
Americas,Chile,1987,5547.063754
Americas,Chile,1992,7596.125964
Americas,Chile,1997,10118.05318
Americas,Chile,2002,10778.78385
Americas,Chile,2007,13171.63885
Asia,China,1952,400.448611
Asia,China,1957,575.9870009
Asia,China,1962,487.6740183
Asia,China,1967,612.7056934
Asia,China,1972,676.9000921
Asia,China,1977,741.2374699
Asia,China,1982,962.4213805
Asia,China,1987,1378.904018
Asia,China,1992,1655.784158
Asia,China,1997,2289.234136
Asia,China,2002,3119.280896
Asia,China,2007,4959.114854
Americas,Colombia,1952,2144.115096
Americas,Colombia,1957,2323.805581
Americas,Colombia,1962,2492.351109
Americas,Colombia,1967,2678.729839
Americas,Colombia,1972,3264.660041
Americas,Colombia,1977,3815.80787
Americas,Colombia,1982,4397.575659
Americas,Colombia,1987,4903.2191
Americas,Colombia,1992,5444.648617
Americas,Colombia,1997,6117.361746000001
Americas,Colombia,2002,5755.259962
Americas,Colombia,2007,7006.580419
Africa,Comoros,1952,1102.990936
Africa,Comoros,1957,1211.148548
Africa,Comoros,1962,1406.648278
Africa,Comoros,1967,1876.029643
Africa,Comoros,1972,1937.577675
Africa,Comoros,1977,1172.603047
Africa,Comoros,1982,1267.100083
Africa,Comoros,1987,1315.980812
Africa,Comoros,1992,1246.90737
Africa,Comoros,1997,1173.618235
Africa,Comoros,2002,1075.811558
Africa,Comoros,2007,986.1478792
Africa,"Congo, Dem. Rep.",1952,780.5423257
Africa,"Congo, Dem. Rep.",1957,905.8602303
Africa,"Congo, Dem. Rep.",1962,896.3146335000001
Africa,"Congo, Dem. Rep.",1967,861.5932424
Africa,"Congo, Dem. Rep.",1972,904.8960685
Africa,"Congo, Dem. Rep.",1977,795.757282
Africa,"Congo, Dem. Rep.",1982,673.7478181
Africa,"Congo, Dem. Rep.",1987,672.774812
Africa,"Congo, Dem. Rep.",1992,457.7191807
Africa,"Congo, Dem. Rep.",1997,312.188423
Africa,"Congo, Dem. Rep.",2002,241.1658765
Africa,"Congo, Dem. Rep.",2007,277.5518587
Africa,"Congo, Rep.",1952,2125.621418
Africa,"Congo, Rep.",1957,2315.056572
Africa,"Congo, Rep.",1962,2464.783157
Africa,"Congo, Rep.",1967,2677.9396420000007
Africa,"Congo, Rep.",1972,3213.152683
Africa,"Congo, Rep.",1977,3259.178978
Africa,"Congo, Rep.",1982,4879.507522
Africa,"Congo, Rep.",1987,4201.194936999998
Africa,"Congo, Rep.",1992,4016.239529
Africa,"Congo, Rep.",1997,3484.164376
Africa,"Congo, Rep.",2002,3484.06197
Africa,"Congo, Rep.",2007,3632.557798
Americas,Costa Rica,1952,2627.0094710000008
Americas,Costa Rica,1957,2990.010802
Americas,Costa Rica,1962,3460.937025
Americas,Costa Rica,1967,4161.727834
Americas,Costa Rica,1972,5118.146939
Americas,Costa Rica,1977,5926.876967
Americas,Costa Rica,1982,5262.734751
Americas,Costa Rica,1987,5629.915318
Americas,Costa Rica,1992,6160.416317
Americas,Costa Rica,1997,6677.045314
Americas,Costa Rica,2002,7723.447195000002
Americas,Costa Rica,2007,9645.06142
Africa,Cote d'Ivoire,1952,1388.594732
Africa,Cote d'Ivoire,1957,1500.895925
Africa,Cote d'Ivoire,1962,1728.8694280000002
Africa,Cote d'Ivoire,1967,2052.050473
Africa,Cote d'Ivoire,1972,2378.201111
Africa,Cote d'Ivoire,1977,2517.736547
Africa,Cote d'Ivoire,1982,2602.710169
Africa,Cote d'Ivoire,1987,2156.9560690000008
Africa,Cote d'Ivoire,1992,1648.073791
Africa,Cote d'Ivoire,1997,1786.265407
Africa,Cote d'Ivoire,2002,1648.800823
Africa,Cote d'Ivoire,2007,1544.750112
Europe,Croatia,1952,3119.23652
Europe,Croatia,1957,4338.231617
Europe,Croatia,1962,5477.890018
Europe,Croatia,1967,6960.297861
Europe,Croatia,1972,9164.090127
Europe,Croatia,1977,11305.38517
Europe,Croatia,1982,13221.82184
Europe,Croatia,1987,13822.58394
Europe,Croatia,1992,8447.794873
Europe,Croatia,1997,9875.604515
Europe,Croatia,2002,11628.38895
Europe,Croatia,2007,14619.222719999998
Americas,Cuba,1952,5586.53878
Americas,Cuba,1957,6092.1743590000015
Americas,Cuba,1962,5180.75591
Americas,Cuba,1967,5690.268015
Americas,Cuba,1972,5305.445256
Americas,Cuba,1977,6380.494965999998
Americas,Cuba,1982,7316.918106999998
Americas,Cuba,1987,7532.924762999999
Americas,Cuba,1992,5592.843963
Americas,Cuba,1997,5431.990415
Americas,Cuba,2002,6340.646683
Americas,Cuba,2007,8948.102923
Europe,Czech Republic,1952,6876.14025
Europe,Czech Republic,1957,8256.343918
Europe,Czech Republic,1962,10136.86713
Europe,Czech Republic,1967,11399.44489
Europe,Czech Republic,1972,13108.4536
Europe,Czech Republic,1977,14800.16062
Europe,Czech Republic,1982,15377.22855
Europe,Czech Republic,1987,16310.4434
Europe,Czech Republic,1992,14297.02122
Europe,Czech Republic,1997,16048.51424
Europe,Czech Republic,2002,17596.210219999994
Europe,Czech Republic,2007,22833.30851
Europe,Denmark,1952,9692.385245
Europe,Denmark,1957,11099.65935
Europe,Denmark,1962,13583.31351
Europe,Denmark,1967,15937.21123
Europe,Denmark,1972,18866.20721
Europe,Denmark,1977,20422.9015
Europe,Denmark,1982,21688.04048
Europe,Denmark,1987,25116.17581
Europe,Denmark,1992,26406.73985
Europe,Denmark,1997,29804.34567
Europe,Denmark,2002,32166.50006
Europe,Denmark,2007,35278.41874
Africa,Djibouti,1952,2669.529475
Africa,Djibouti,1957,2864.9690760000008
Africa,Djibouti,1962,3020.989263
Africa,Djibouti,1967,3020.050513
Africa,Djibouti,1972,3694.2123520000014
Africa,Djibouti,1977,3081.761022
Africa,Djibouti,1982,2879.468067
Africa,Djibouti,1987,2880.102568
Africa,Djibouti,1992,2377.156192000001
Africa,Djibouti,1997,1895.016984
Africa,Djibouti,2002,1908.260867
Africa,Djibouti,2007,2082.4815670000007
Americas,Dominican Republic,1952,1397.717137
Americas,Dominican Republic,1957,1544.402995
Americas,Dominican Republic,1962,1662.137359
Americas,Dominican Republic,1967,1653.7230029999996
Americas,Dominican Republic,1972,2189.874499
Americas,Dominican Republic,1977,2681.9889
Americas,Dominican Republic,1982,2861.092386
Americas,Dominican Republic,1987,2899.842175
Americas,Dominican Republic,1992,3044.214214
Americas,Dominican Republic,1997,3614.101285
Americas,Dominican Republic,2002,4563.808154
Americas,Dominican Republic,2007,6025.3747520000015
Americas,Ecuador,1952,3522.110717
Americas,Ecuador,1957,3780.546651
Americas,Ecuador,1962,4086.114078
Americas,Ecuador,1967,4579.074215
Americas,Ecuador,1972,5280.99471
Americas,Ecuador,1977,6679.62326
Americas,Ecuador,1982,7213.791267
Americas,Ecuador,1987,6481.776993
Americas,Ecuador,1992,7103.702595000002
Americas,Ecuador,1997,7429.4558769999985
Americas,Ecuador,2002,5773.044512
Americas,Ecuador,2007,6873.262326000001
Africa,Egypt,1952,1418.822445
Africa,Egypt,1957,1458.915272
Africa,Egypt,1962,1693.335853
Africa,Egypt,1967,1814.880728
Africa,Egypt,1972,2024.008147
Africa,Egypt,1977,2785.493582
Africa,Egypt,1982,3503.729636
Africa,Egypt,1987,3885.46071
Africa,Egypt,1992,3794.755195
Africa,Egypt,1997,4173.181797
Africa,Egypt,2002,4754.604414
Africa,Egypt,2007,5581.180998
Americas,El Salvador,1952,3048.3029
Americas,El Salvador,1957,3421.523218
Americas,El Salvador,1962,3776.803627
Americas,El Salvador,1967,4358.595393
Americas,El Salvador,1972,4520.246008
Americas,El Salvador,1977,5138.922374
Americas,El Salvador,1982,4098.344175
Americas,El Salvador,1987,4140.442097
Americas,El Salvador,1992,4444.2317
Americas,El Salvador,1997,5154.825496
Americas,El Salvador,2002,5351.568665999999
Americas,El Salvador,2007,5728.353514
Africa,Equatorial Guinea,1952,375.6431231
Africa,Equatorial Guinea,1957,426.0964081
Africa,Equatorial Guinea,1962,582.8419713999998
Africa,Equatorial Guinea,1967,915.5960025
Africa,Equatorial Guinea,1972,672.4122571
Africa,Equatorial Guinea,1977,958.5668124
Africa,Equatorial Guinea,1982,927.8253427
Africa,Equatorial Guinea,1987,966.8968149
Africa,Equatorial Guinea,1992,1132.055034
Africa,Equatorial Guinea,1997,2814.480755
Africa,Equatorial Guinea,2002,7703.4959
Africa,Equatorial Guinea,2007,12154.08975
Africa,Eritrea,1952,328.9405571000001
Africa,Eritrea,1957,344.1618859
Africa,Eritrea,1962,380.9958433000001
Africa,Eritrea,1967,468.7949699
Africa,Eritrea,1972,514.3242081999998
Africa,Eritrea,1977,505.7538077
Africa,Eritrea,1982,524.8758493
Africa,Eritrea,1987,521.1341333
Africa,Eritrea,1992,582.8585102000002
Africa,Eritrea,1997,913.47079
Africa,Eritrea,2002,765.3500015
Africa,Eritrea,2007,641.3695236000002
Africa,Ethiopia,1952,362.1462796
Africa,Ethiopia,1957,378.9041632
Africa,Ethiopia,1962,419.4564161
Africa,Ethiopia,1967,516.1186438
Africa,Ethiopia,1972,566.2439442000001
Africa,Ethiopia,1977,556.8083834
Africa,Ethiopia,1982,577.8607471
Africa,Ethiopia,1987,573.7413142000001
Africa,Ethiopia,1992,421.3534653
Africa,Ethiopia,1997,515.8894013
Africa,Ethiopia,2002,530.0535319
Africa,Ethiopia,2007,690.8055759
Europe,Finland,1952,6424.519071
Europe,Finland,1957,7545.415386
Europe,Finland,1962,9371.842561
Europe,Finland,1967,10921.63626
Europe,Finland,1972,14358.8759
Europe,Finland,1977,15605.42283
Europe,Finland,1982,18533.15761
Europe,Finland,1987,21141.01223
Europe,Finland,1992,20647.16499
Europe,Finland,1997,23723.9502
Europe,Finland,2002,28204.59057
Europe,Finland,2007,33207.0844
Europe,France,1952,7029.809327
Europe,France,1957,8662.834898000001
Europe,France,1962,10560.48553
Europe,France,1967,12999.91766
Europe,France,1972,16107.19171
Europe,France,1977,18292.63514
Europe,France,1982,20293.89746
Europe,France,1987,22066.44214
Europe,France,1992,24703.79615
Europe,France,1997,25889.78487
Europe,France,2002,28926.03234
Europe,France,2007,30470.0167
Africa,Gabon,1952,4293.476475
Africa,Gabon,1957,4976.198099
Africa,Gabon,1962,6631.459222
Africa,Gabon,1967,8358.761987
Africa,Gabon,1972,11401.94841
Africa,Gabon,1977,21745.57328
Africa,Gabon,1982,15113.36194
Africa,Gabon,1987,11864.40844
Africa,Gabon,1992,13522.15752
Africa,Gabon,1997,14722.841880000002
Africa,Gabon,2002,12521.71392
Africa,Gabon,2007,13206.48452
Africa,Gambia,1952,485.2306591
Africa,Gambia,1957,520.9267111
Africa,Gambia,1962,599.650276
Africa,Gambia,1967,734.7829124
Africa,Gambia,1972,756.0868363
Africa,Gambia,1977,884.7552507000001
Africa,Gambia,1982,835.8096107999999
Africa,Gambia,1987,611.6588611000002
Africa,Gambia,1992,665.6244126
Africa,Gambia,1997,653.7301704
Africa,Gambia,2002,660.5855997
Africa,Gambia,2007,752.7497265
Europe,Germany,1952,7144.114393000002
Europe,Germany,1957,10187.82665
Europe,Germany,1962,12902.46291
Europe,Germany,1967,14745.62561
Europe,Germany,1972,18016.18027
Europe,Germany,1977,20512.92123
Europe,Germany,1982,22031.53274
Europe,Germany,1987,24639.18566
Europe,Germany,1992,26505.30317
Europe,Germany,1997,27788.88416
Europe,Germany,2002,30035.80198
Europe,Germany,2007,32170.37442
Africa,Ghana,1952,911.2989371
Africa,Ghana,1957,1043.5615369999996
Africa,Ghana,1962,1190.041118
Africa,Ghana,1967,1125.69716
Africa,Ghana,1972,1178.223708
Africa,Ghana,1977,993.2239571
Africa,Ghana,1982,876.032569
Africa,Ghana,1987,847.0061135
Africa,Ghana,1992,925.060154
Africa,Ghana,1997,1005.245812
Africa,Ghana,2002,1111.9845779999996
Africa,Ghana,2007,1327.60891
Europe,Greece,1952,3530.690067
Europe,Greece,1957,4916.299889
Europe,Greece,1962,6017.190732999999
Europe,Greece,1967,8513.097016
Europe,Greece,1972,12724.82957
Europe,Greece,1977,14195.52428
Europe,Greece,1982,15268.42089
Europe,Greece,1987,16120.52839
Europe,Greece,1992,17541.49634
Europe,Greece,1997,18747.69814
Europe,Greece,2002,22514.2548
Europe,Greece,2007,27538.41188
Americas,Guatemala,1952,2428.2377690000008
Americas,Guatemala,1957,2617.155967
Americas,Guatemala,1962,2750.364446
Americas,Guatemala,1967,3242.531147
Americas,Guatemala,1972,4031.408271
Americas,Guatemala,1977,4879.992748
Americas,Guatemala,1982,4820.49479
Americas,Guatemala,1987,4246.485974
Americas,Guatemala,1992,4439.45084
Americas,Guatemala,1997,4684.313807
Americas,Guatemala,2002,4858.347495
Americas,Guatemala,2007,5186.050003
Africa,Guinea,1952,510.1964923000001
Africa,Guinea,1957,576.2670245
Africa,Guinea,1962,686.3736739
Africa,Guinea,1967,708.7595409
Africa,Guinea,1972,741.6662307
Africa,Guinea,1977,874.6858642999998
Africa,Guinea,1982,857.2503577
Africa,Guinea,1987,805.5724717999999
Africa,Guinea,1992,794.3484384
Africa,Guinea,1997,869.4497667999998
Africa,Guinea,2002,945.5835837
Africa,Guinea,2007,942.6542111
Africa,Guinea-Bissau,1952,299.850319
Africa,Guinea-Bissau,1957,431.79045660000014
Africa,Guinea-Bissau,1962,522.0343725
Africa,Guinea-Bissau,1967,715.5806402000002
Africa,Guinea-Bissau,1972,820.2245876000002
Africa,Guinea-Bissau,1977,764.7259627999998
Africa,Guinea-Bissau,1982,838.1239671
Africa,Guinea-Bissau,1987,736.4153921
Africa,Guinea-Bissau,1992,745.5398706
Africa,Guinea-Bissau,1997,796.6644681
Africa,Guinea-Bissau,2002,575.7047176
Africa,Guinea-Bissau,2007,579.2317429999998
Americas,Haiti,1952,1840.366939
Americas,Haiti,1957,1726.887882
Americas,Haiti,1962,1796.589032
Americas,Haiti,1967,1452.057666
Americas,Haiti,1972,1654.456946
Americas,Haiti,1977,1874.298931
Americas,Haiti,1982,2011.159549
Americas,Haiti,1987,1823.015995
Americas,Haiti,1992,1456.309517
Americas,Haiti,1997,1341.726931
Americas,Haiti,2002,1270.364932
Americas,Haiti,2007,1201.637154
Americas,Honduras,1952,2194.926204
Americas,Honduras,1957,2220.487682
Americas,Honduras,1962,2291.156835
Americas,Honduras,1967,2538.269358
Americas,Honduras,1972,2529.842345
Americas,Honduras,1977,3203.208066
Americas,Honduras,1982,3121.7607940000007
Americas,Honduras,1987,3023.096699
Americas,Honduras,1992,3081.694603
Americas,Honduras,1997,3160.454906
Americas,Honduras,2002,3099.72866
Americas,Honduras,2007,3548.3308460000007
Asia,"Hong Kong, China",1952,3054.421209
Asia,"Hong Kong, China",1957,3629.076457
Asia,"Hong Kong, China",1962,4692.648271999999
Asia,"Hong Kong, China",1967,6197.962814
Asia,"Hong Kong, China",1972,8315.928145
Asia,"Hong Kong, China",1977,11186.14125
Asia,"Hong Kong, China",1982,14560.53051
Asia,"Hong Kong, China",1987,20038.47269
Asia,"Hong Kong, China",1992,24757.60301
Asia,"Hong Kong, China",1997,28377.63219
Asia,"Hong Kong, China",2002,30209.015160000006
Asia,"Hong Kong, China",2007,39724.97867
Europe,Hungary,1952,5263.673816
Europe,Hungary,1957,6040.180011
Europe,Hungary,1962,7550.359877
Europe,Hungary,1967,9326.64467
Europe,Hungary,1972,10168.65611
Europe,Hungary,1977,11674.83737
Europe,Hungary,1982,12545.99066
Europe,Hungary,1987,12986.47998
Europe,Hungary,1992,10535.62855
Europe,Hungary,1997,11712.7768
Europe,Hungary,2002,14843.93556
Europe,Hungary,2007,18008.94444
Europe,Iceland,1952,7267.688428
Europe,Iceland,1957,9244.001412
Europe,Iceland,1962,10350.15906
Europe,Iceland,1967,13319.89568
Europe,Iceland,1972,15798.06362
Europe,Iceland,1977,19654.96247
Europe,Iceland,1982,23269.6075
Europe,Iceland,1987,26923.20628
Europe,Iceland,1992,25144.39201
Europe,Iceland,1997,28061.099660000003
Europe,Iceland,2002,31163.20196
Europe,Iceland,2007,36180.78919
Asia,India,1952,546.5657493
Asia,India,1957,590.061996
Asia,India,1962,658.3471509
Asia,India,1967,700.7706107000001
Asia,India,1972,724.032527
Asia,India,1977,813.3373230000002
Asia,India,1982,855.7235377000002
Asia,India,1987,976.5126756
Asia,India,1992,1164.406809
Asia,India,1997,1458.817442
Asia,India,2002,1746.769454
Asia,India,2007,2452.210407
Asia,Indonesia,1952,749.6816546
Asia,Indonesia,1957,858.9002707000002
Asia,Indonesia,1962,849.2897700999998
Asia,Indonesia,1967,762.4317721
Asia,Indonesia,1972,1111.107907
Asia,Indonesia,1977,1382.702056
Asia,Indonesia,1982,1516.872988
Asia,Indonesia,1987,1748.356961
Asia,Indonesia,1992,2383.140898
Asia,Indonesia,1997,3119.335603
Asia,Indonesia,2002,2873.91287
Asia,Indonesia,2007,3540.651564
Asia,Iran,1952,3035.326002
Asia,Iran,1957,3290.257643
Asia,Iran,1962,4187.329802
Asia,Iran,1967,5906.731804999999
Asia,Iran,1972,9613.818607
Asia,Iran,1977,11888.59508
Asia,Iran,1982,7608.334602
Asia,Iran,1987,6642.881371
Asia,Iran,1992,7235.653187999998
