continent,country,year,pop
Africa,Benin,1957,1925173
Africa,Benin,1962,2151895
Africa,Benin,1967,2427334
Africa,Benin,1972,2761407
Africa,Benin,1977,3168267
Africa,Benin,1982,3641603
Africa,Benin,1987,4243788
Africa,Benin,1992,4981671
Africa,Benin,1997,6066080
Africa,Benin,2002,7026113
Africa,Benin,2007,8078314
Americas,Bolivia,1952,2883315
Americas,Bolivia,1957,3211738
Americas,Bolivia,1962,3593918
Americas,Bolivia,1967,4040665
Americas,Bolivia,1972,4565872
Americas,Bolivia,1977,5079716
Americas,Bolivia,1982,5642224
Americas,Bolivia,1987,6156369
Americas,Bolivia,1992,6893451
Americas,Bolivia,1997,7693188
Americas,Bolivia,2002,8445134
Americas,Bolivia,2007,9119152
Europe,Bosnia and Herzegovina,1952,2791000
Europe,Bosnia and Herzegovina,1957,3076000
Europe,Bosnia and Herzegovina,1962,3349000
Europe,Bosnia and Herzegovina,1967,3585000
Europe,Bosnia and Herzegovina,1972,3819000
Europe,Bosnia and Herzegovina,1977,4086000
Europe,Bosnia and Herzegovina,1982,4172693
Europe,Bosnia and Herzegovina,1987,4338977
Europe,Bosnia and Herzegovina,1992,4256013
Europe,Bosnia and Herzegovina,1997,3607000
Europe,Bosnia and Herzegovina,2002,4165416
Europe,Bosnia and Herzegovina,2007,4552198
Africa,Botswana,1952,442308
Africa,Botswana,1957,474639
Africa,Botswana,1962,512764
Africa,Botswana,1967,553541
Africa,Botswana,1972,619351
Africa,Botswana,1977,781472
Africa,Botswana,1982,970347
Africa,Botswana,1987,1151184
Africa,Botswana,1992,1342614
Africa,Botswana,1997,1536536
Africa,Botswana,2002,1630347
Africa,Botswana,2007,1639131
Americas,Brazil,1952,56602560
Americas,Brazil,1957,65551171
Americas,Brazil,1962,76039390
Americas,Brazil,1967,88049823
Americas,Brazil,1972,100840058
Americas,Brazil,1977,114313951
Americas,Brazil,1982,128962939
Americas,Brazil,1987,142938076
Americas,Brazil,1992,155975974
Americas,Brazil,1997,168546719
Americas,Brazil,2002,179914212
Americas,Brazil,2007,190010647
Europe,Bulgaria,1952,7274900
Europe,Bulgaria,1957,7651254
Europe,Bulgaria,1962,8012946
Europe,Bulgaria,1967,8310226
Europe,Bulgaria,1972,8576200
Europe,Bulgaria,1977,8797022
Europe,Bulgaria,1982,8892098
Europe,Bulgaria,1987,8971958
Europe,Bulgaria,1992,8658506
Europe,Bulgaria,1997,8066057
Europe,Bulgaria,2002,7661799
Europe,Bulgaria,2007,7322858
Africa,Burkina Faso,1952,4469979
Africa,Burkina Faso,1957,4713416
Africa,Burkina Faso,1962,4919632
Africa,Burkina Faso,1967,5127935
Africa,Burkina Faso,1972,5433886
Africa,Burkina Faso,1977,5889574
Africa,Burkina Faso,1982,6634596
Africa,Burkina Faso,1987,7586551
Africa,Burkina Faso,1992,8878303
Africa,Burkina Faso,1997,10352843
Africa,Burkina Faso,2002,12251209
Africa,Burkina Faso,2007,14326203
Africa,Burundi,1952,2445618
Africa,Burundi,1957,2667518
Africa,Burundi,1962,2961915
Africa,Burundi,1967,3330989
Africa,Burundi,1972,3529983
Africa,Burundi,1977,3834415
Africa,Burundi,1982,4580410
Africa,Burundi,1987,5126023
Africa,Burundi,1992,5809236
Africa,Burundi,1997,6121610
Africa,Burundi,2002,7021078
Africa,Burundi,2007,8390505
Asia,Cambodia,1952,4693836
Asia,Cambodia,1957,5322536
Asia,Cambodia,1962,6083619
Asia,Cambodia,1967,6960067
Asia,Cambodia,1972,7450606
Asia,Cambodia,1977,6978607
Asia,Cambodia,1982,7272485
Asia,Cambodia,1987,8371791
Asia,Cambodia,1992,10150094
Asia,Cambodia,1997,11782962
Asia,Cambodia,2002,12926707
Asia,Cambodia,2007,14131858
Africa,Cameroon,1952,5009067
Africa,Cameroon,1957,5359923
Africa,Cameroon,1962,5793633
Africa,Cameroon,1967,6335506
Africa,Cameroon,1972,7021028
Africa,Cameroon,1977,7959865
Africa,Cameroon,1982,9250831
Africa,Cameroon,1987,10780667
Africa,Cameroon,1992,12467171
Africa,Cameroon,1997,14195809
Africa,Cameroon,2002,15929988
Africa,Cameroon,2007,17696293
Americas,Canada,1952,14785584
Americas,Canada,1957,17010154
Americas,Canada,1962,18985849
Americas,Canada,1967,20819767
Americas,Canada,1972,22284500
Americas,Canada,1977,23796400
Americas,Canada,1982,25201900
Americas,Canada,1987,26549700
Americas,Canada,1992,28523502
Americas,Canada,1997,30305843
Americas,Canada,2002,31902268
Americas,Canada,2007,33390141
Africa,Central African Republic,1952,1291695
Africa,Central African Republic,1957,1392284
Africa,Central African Republic,1962,1523478
Africa,Central African Republic,1967,1733638
Africa,Central African Republic,1972,1927260
Africa,Central African Republic,1977,2167533
Africa,Central African Republic,1982,2476971
Africa,Central African Republic,1987,2840009
Africa,Central African Republic,1992,3265124
Africa,Central African Republic,1997,3696513
Africa,Central African Republic,2002,4048013
Africa,Central African Republic,2007,4369038
Africa,Chad,1952,2682462
Africa,Chad,1957,2894855
Africa,Chad,1962,3150417
Africa,Chad,1967,3495967
Africa,Chad,1972,3899068
Africa,Chad,1977,4388260
Africa,Chad,1982,4875118
Africa,Chad,1987,5498955
Africa,Chad,1992,6429417
Africa,Chad,1997,7562011
Africa,Chad,2002,8835739
Africa,Chad,2007,10238807
Americas,Chile,1952,6377619
Americas,Chile,1957,7048426
Americas,Chile,1962,7961258
Americas,Chile,1967,8858908
Americas,Chile,1972,9717524
Americas,Chile,1977,10599793
Americas,Chile,1982,11487112
Americas,Chile,1987,12463354
Americas,Chile,1992,13572994
Americas,Chile,1997,14599929
Americas,Chile,2002,15497046
Americas,Chile,2007,16284741
Asia,China,1952,556263527
Asia,China,1957,637408000
Asia,China,1962,665770000
Asia,China,1967,754550000
Asia,China,1972,862030000
Asia,China,1977,943455000
Asia,China,1982,1000281000
Asia,China,1987,1084035000
Asia,China,1992,1164970000
Asia,China,1997,1230075000
Asia,China,2002,1280400000
Asia,China,2007,1318683096
Americas,Colombia,1952,12350771
Americas,Colombia,1957,14485993
Americas,Colombia,1962,17009885
Americas,Colombia,1967,19764027
Americas,Colombia,1972,22542890
Americas,Colombia,1977,25094412
Americas,Colombia,1982,27764644
Americas,Colombia,1987,30964245
Americas,Colombia,1992,34202721
Americas,Colombia,1997,37657830
Americas,Colombia,2002,41008227
Americas,Colombia,2007,44227550
Africa,Comoros,1952,153936
Africa,Comoros,1957,170928
Africa,Comoros,1962,191689
Africa,Comoros,1967,217378
Africa,Comoros,1972,250027
Africa,Comoros,1977,304739
Africa,Comoros,1982,348643
Africa,Comoros,1987,395114
Africa,Comoros,1992,454429
Africa,Comoros,1997,527982
Africa,Comoros,2002,614382
Africa,Comoros,2007,710960
Africa,"Congo, Dem. Rep.",1952,14100005
Africa,"Congo, Dem. Rep.",1957,15577932
Africa,"Congo, Dem. Rep.",1962,17486434
Africa,"Congo, Dem. Rep.",1967,19941073
Africa,"Congo, Dem. Rep.",1972,23007669
Africa,"Congo, Dem. Rep.",1977,26480870
Africa,"Congo, Dem. Rep.",1982,30646495
Africa,"Congo, Dem. Rep.",1987,35481645
Africa,"Congo, Dem. Rep.",1992,41672143
Africa,"Congo, Dem. Rep.",1997,47798986
Africa,"Congo, Dem. Rep.",2002,55379852
Africa,"Congo, Dem. Rep.",2007,64606759
Africa,"Congo, Rep.",1952,854885
Africa,"Congo, Rep.",1957,940458
Africa,"Congo, Rep.",1962,1047924
Africa,"Congo, Rep.",1967,1179760
Africa,"Congo, Rep.",1972,1340458
Africa,"Congo, Rep.",1977,1536769
Africa,"Congo, Rep.",1982,1774735
Africa,"Congo, Rep.",1987,2064095
Africa,"Congo, Rep.",1992,2409073
Africa,"Congo, Rep.",1997,2800947
Africa,"Congo, Rep.",2002,3328795
Africa,"Congo, Rep.",2007,3800610
Americas,Costa Rica,1952,926317
Americas,Costa Rica,1957,1112300
Americas,Costa Rica,1962,1345187
Americas,Costa Rica,1967,1588717
Americas,Costa Rica,1972,1834796
Americas,Costa Rica,1977,2108457
Americas,Costa Rica,1982,2424367
Americas,Costa Rica,1987,2799811
Americas,Costa Rica,1992,3173216
Americas,Costa Rica,1997,3518107
Americas,Costa Rica,2002,3834934
Americas,Costa Rica,2007,4133884
Africa,Cote d'Ivoire,1952,2977019
Africa,Cote d'Ivoire,1957,3300000
Africa,Cote d'Ivoire,1962,3832408
Africa,Cote d'Ivoire,1967,4744870
Africa,Cote d'Ivoire,1972,6071696
Africa,Cote d'Ivoire,1977,7459574
Africa,Cote d'Ivoire,1982,9025951
Africa,Cote d'Ivoire,1987,10761098
Africa,Cote d'Ivoire,1992,12772596
Africa,Cote d'Ivoire,1997,14625967
Africa,Cote d'Ivoire,2002,16252726
Africa,Cote d'Ivoire,2007,18013409
Europe,Croatia,1952,3882229
Europe,Croatia,1957,3991242
Europe,Croatia,1962,4076557
Europe,Croatia,1967,4174366
Europe,Croatia,1972,4225310
Europe,Croatia,1977,4318673
Europe,Croatia,1982,4413368
Europe,Croatia,1987,4484310
Europe,Croatia,1992,4494013
Europe,Croatia,1997,4444595
Europe,Croatia,2002,4481020
Europe,Croatia,2007,4493312
Americas,Cuba,1952,6007797
Americas,Cuba,1957,6640752
Americas,Cuba,1962,7254373
Americas,Cuba,1967,8139332
Americas,Cuba,1972,8831348
Americas,Cuba,1977,9537988
Americas,Cuba,1982,9789224
Americas,Cuba,1987,10239839
Americas,Cuba,1992,10723260
Americas,Cuba,1997,10983007
Americas,Cuba,2002,11226999
Americas,Cuba,2007,11416987
Europe,Czech Republic,1952,9125183
Europe,Czech Republic,1957,9513758
Europe,Czech Republic,1962,9620282
Europe,Czech Republic,1967,9835109
Europe,Czech Republic,1972,9862158
Europe,Czech Republic,1977,10161915
Europe,Czech Republic,1982,10303704
Europe,Czech Republic,1987,10311597
Europe,Czech Republic,1992,10315702
Europe,Czech Republic,1997,10300707
Europe,Czech Republic,2002,10256295
Europe,Czech Republic,2007,10228744
Europe,Denmark,1952,4334000
Europe,Denmark,1957,4487831
Europe,Denmark,1962,4646899
Europe,Denmark,1967,4838800
Europe,Denmark,1972,4991596
Europe,Denmark,1977,5088419
Europe,Denmark,1982,5117810
Europe,Denmark,1987,5127024
Europe,Denmark,1992,5171393
Europe,Denmark,1997,5283663
Europe,Denmark,2002,5374693
Europe,Denmark,2007,5468120
Africa,Djibouti,1952,63149
Africa,Djibouti,1957,71851
Africa,Djibouti,1962,89898
Africa,Djibouti,1967,127617
Africa,Djibouti,1972,178848
Africa,Djibouti,1977,228694
Africa,Djibouti,1982,305991
Africa,Djibouti,1987,311025
Africa,Djibouti,1992,384156
Africa,Djibouti,1997,417908
Africa,Djibouti,2002,447416
Africa,Djibouti,2007,496374
Americas,Dominican Republic,1952,2491346
Americas,Dominican Republic,1957,2923186
Americas,Dominican Republic,1962,3453434
Americas,Dominican Republic,1967,4049146
Americas,Dominican Republic,1972,4671329
Americas,Dominican Republic,1977,5302800
Americas,Dominican Republic,1982,5968349
Americas,Dominican Republic,1987,6655297
Americas,Dominican Republic,1992,7351181
Americas,Dominican Republic,1997,7992357
Americas,Dominican Republic,2002,8650322
Americas,Dominican Republic,2007,9319622
Americas,Ecuador,1952,3548753
Americas,Ecuador,1957,4058385
Americas,Ecuador,1962,4681707
Americas,Ecuador,1967,5432424
Americas,Ecuador,1972,6298651
Americas,Ecuador,1977,7278866
Americas,Ecuador,1982,8365850
Americas,Ecuador,1987,9545158
Americas,Ecuador,1992,10748394
Americas,Ecuador,1997,11911819
Americas,Ecuador,2002,12921234
Americas,Ecuador,2007,13755680
Africa,Egypt,1952,22223309
Africa,Egypt,1957,25009741
Africa,Egypt,1962,28173309
Africa,Egypt,1967,31681188
Africa,Egypt,1972,34807417
Africa,Egypt,1977,38783863
Africa,Egypt,1982,45681811
Africa,Egypt,1987,52799062
Africa,Egypt,1992,59402198
Africa,Egypt,1997,66134291
Africa,Egypt,2002,73312559
Africa,Egypt,2007,80264543
Americas,El Salvador,1952,2042865
Americas,El Salvador,1957,2355805
Americas,El Salvador,1962,2747687
Americas,El Salvador,1967,3232927
Americas,El Salvador,1972,3790903
Americas,El Salvador,1977,4282586
Americas,El Salvador,1982,4474873
Americas,El Salvador,1987,4842194
Americas,El Salvador,1992,5274649
Americas,El Salvador,1997,5783439
Americas,El Salvador,2002,6353681
Americas,El Salvador,2007,6939688
Africa,Equatorial Guinea,1952,216964
Africa,Equatorial Guinea,1957,232922
Africa,Equatorial Guinea,1962,249220
Africa,Equatorial Guinea,1967,259864
Africa,Equatorial Guinea,1972,277603
Africa,Equatorial Guinea,1977,192675
Africa,Equatorial Guinea,1982,285483
Africa,Equatorial Guinea,1987,341244
Africa,Equatorial Guinea,1992,387838
Africa,Equatorial Guinea,1997,439971
Africa,Equatorial Guinea,2002,495627
Africa,Equatorial Guinea,2007,551201
Africa,Eritrea,1952,1438760
Africa,Eritrea,1957,1542611
Africa,Eritrea,1962,1666618
Africa,Eritrea,1967,1820319
Africa,Eritrea,1972,2260187
Africa,Eritrea,1977,2512642
Africa,Eritrea,1982,2637297
Africa,Eritrea,1987,2915959
Africa,Eritrea,1992,3668440
Africa,Eritrea,1997,4058319
Africa,Eritrea,2002,4414865
Africa,Eritrea,2007,4906585
Africa,Ethiopia,1952,20860941
Africa,Ethiopia,1957,22815614
Africa,Ethiopia,1962,25145372
Africa,Ethiopia,1967,27860297
Africa,Ethiopia,1972,30770372
Africa,Ethiopia,1977,34617799
Africa,Ethiopia,1982,38111756
Africa,Ethiopia,1987,42999530
Africa,Ethiopia,1992,52088559
Africa,Ethiopia,1997,59861301
Africa,Ethiopia,2002,67946797
Africa,Ethiopia,2007,76511887
Europe,Finland,1952,4090500
Europe,Finland,1957,4324000
Europe,Finland,1962,4491443
Europe,Finland,1967,4605744
Europe,Finland,1972,4639657
Europe,Finland,1977,4738902
Europe,Finland,1982,4826933
Europe,Finland,1987,4931729
Europe,Finland,1992,5041039
Europe,Finland,1997,5134406
Europe,Finland,2002,5193039
Europe,Finland,2007,5238460
Europe,France,1952,42459667
Europe,France,1957,44310863
Europe,France,1962,47124000
Europe,France,1967,49569000
Europe,France,1972,51732000
Europe,France,1977,53165019
Europe,France,1982,54433565
Europe,France,1987,55630100
Europe,France,1992,57374179
Europe,France,1997,58623428
Europe,France,2002,59925035
Europe,France,2007,61083916
Africa,Gabon,1952,420702
Africa,Gabon,1957,434904
Africa,Gabon,1962,455661
Africa,Gabon,1967,489004
Africa,Gabon,1972,537977
Africa,Gabon,1977,706367
Africa,Gabon,1982,753874
Africa,Gabon,1987,880397
Africa,Gabon,1992,985739
Africa,Gabon,1997,1126189
Africa,Gabon,2002,1299304
Africa,Gabon,2007,1454867
Africa,Gambia,1952,284320
Africa,Gambia,1957,323150
Africa,Gambia,1962,374020
Africa,Gambia,1967,439593
Africa,Gambia,1972,517101
Africa,Gambia,1977,608274
Africa,Gambia,1982,715523
Africa,Gambia,1987,848406
Africa,Gambia,1992,1025384
Africa,Gambia,1997,1235767
Africa,Gambia,2002,1457766
Africa,Gambia,2007,1688359
Europe,Germany,1952,69145952
Europe,Germany,1957,71019069
Europe,Germany,1962,73739117
Europe,Germany,1967,76368453
Europe,Germany,1972,78717088
Europe,Germany,1977,78160773
Europe,Germany,1982,78335266
Europe,Germany,1987,77718298
Europe,Germany,1992,80597764
Europe,Germany,1997,82011073
Europe,Germany,2002,82350671
Europe,Germany,2007,82400996
Africa,Ghana,1952,5581001
Africa,Ghana,1957,6391288
Africa,Ghana,1962,7355248
Africa,Ghana,1967,8490213
Africa,Ghana,1972,9354120
Africa,Ghana,1977,10538093
Africa,Ghana,1982,11400338
Africa,Ghana,1987,14168101
Africa,Ghana,1992,16278738
Africa,Ghana,1997,18418288
Africa,Ghana,2002,20550751
Africa,Ghana,2007,22873338
Europe,Greece,1952,7733250
Europe,Greece,1957,8096218
Europe,Greece,1962,8448233
Europe,Greece,1967,8716441
Europe,Greece,1972,8888628
Europe,Greece,1977,9308479
Europe,Greece,1982,9786480
Europe,Greece,1987,9974490
Europe,Greece,1992,10325429
Europe,Greece,1997,10502372
Europe,Greece,2002,10603863
Europe,Greece,2007,10706290
Americas,Guatemala,1952,3146381
Americas,Guatemala,1957,3640876
Americas,Guatemala,1962,4208858
Americas,Guatemala,1967,4690773
Americas,Guatemala,1972,5149581
Americas,Guatemala,1977,5703430
Americas,Guatemala,1982,6395630
Americas,Guatemala,1987,7326406
Americas,Guatemala,1992,8486949
Americas,Guatemala,1997,9803875
Americas,Guatemala,2002,11178650
Americas,Guatemala,2007,12572928
Africa,Guinea,1952,2664249
Africa,Guinea,1957,2876726
Africa,Guinea,1962,3140003
Africa,Guinea,1967,3451418
Africa,Guinea,1972,3811387
Africa,Guinea,1977,4227026
Africa,Guinea,1982,4710497
Africa,Guinea,1987,5650262
Africa,Guinea,1992,6990574
Africa,Guinea,1997,8048834
Africa,Guinea,2002,8807818
Africa,Guinea,2007,9947814
Africa,Guinea-Bissau,1952,580653
Africa,Guinea-Bissau,1957,601095
Africa,Guinea-Bissau,1962,627820
Africa,Guinea-Bissau,1967,601287
Africa,Guinea-Bissau,1972,625361
Africa,Guinea-Bissau,1977,745228
Africa,Guinea-Bissau,1982,825987
Africa,Guinea-Bissau,1987,927524
Africa,Guinea-Bissau,1992,1050938
Africa,Guinea-Bissau,1997,1193708
Africa,Guinea-Bissau,2002,1332459
Africa,Guinea-Bissau,2007,1472041
Americas,Haiti,1952,3201488
Americas,Haiti,1957,3507701
Americas,Haiti,1962,3880130
Americas,Haiti,1967,4318137
Americas,Haiti,1972,4698301
Americas,Haiti,1977,4908554
Americas,Haiti,1982,5198399
Americas,Haiti,1987,5756203
Americas,Haiti,1992,6326682
Americas,Haiti,1997,6913545
Americas,Haiti,2002,7607651
Americas,Haiti,2007,8502814
Americas,Honduras,1952,1517453
Americas,Honduras,1957,1770390
Americas,Honduras,1962,2090162
Americas,Honduras,1967,2500689
Americas,Honduras,1972,2965146
Americas,Honduras,1977,3055235
Americas,Honduras,1982,3669448
Americas,Honduras,1987,4372203
Americas,Honduras,1992,5077347
Americas,Honduras,1997,5867957
Americas,Honduras,2002,6677328
Americas,Honduras,2007,7483763
Asia,"Hong Kong, China",1952,2125900
Asia,"Hong Kong, China",1957,2736300
Asia,"Hong Kong, China",1962,3305200
Asia,"Hong Kong, China",1967,3722800
Asia,"Hong Kong, China",1972,4115700
Asia,"Hong Kong, China",1977,4583700
Asia,"Hong Kong, China",1982,5264500
Asia,"Hong Kong, China",1987,5584510
Asia,"Hong Kong, China",1992,5829696
Asia,"Hong Kong, China",1997,6495918
Asia,"Hong Kong, China",2002,6762476
Asia,"Hong Kong, China",2007,6980412
Europe,Hungary,1952,9504000
Europe,Hungary,1957,9839000
Europe,Hungary,1962,10063000
Europe,Hungary,1967,10223422
Europe,Hungary,1972,10394091
Europe,Hungary,1977,10637171
Europe,Hungary,1982,10705535
Europe,Hungary,1987,10612740
Europe,Hungary,1992,10348684
Europe,Hungary,1997,10244684
Europe,Hungary,2002,10083313
Europe,Hungary,2007,9956108
Europe,Iceland,1952,147962
Europe,Iceland,1957,165110
Europe,Iceland,1962,182053
Europe,Iceland,1967,198676
Europe,Iceland,1972,209275
Europe,Iceland,1977,221823
Europe,Iceland,1982,233997
Europe,Iceland,1987,244676
Europe,Iceland,1992,259012
Europe,Iceland,1997,271192
Europe,Iceland,2002,288030
Europe,Iceland,2007,301931
Asia,India,1952,372000000
Asia,India,1957,409000000
Asia,India,1962,454000000
Asia,India,1967,506000000
Asia,India,1972,567000000
Asia,India,1977,634000000
Asia,India,1982,708000000
Asia,India,1987,788000000
Asia,India,1992,872000000
Asia,India,1997,959000000
Asia,India,2002,1034172547
Asia,India,2007,1110396331
Asia,Indonesia,1952,82052000
Asia,Indonesia,1957,90124000
Asia,Indonesia,1962,99028000
Asia,Indonesia,1967,109343000
Asia,Indonesia,1972,121282000
Asia,Indonesia,1977,136725000
Asia,Indonesia,1982,153343000
Asia,Indonesia,1987,169276000
Asia,Indonesia,1992,184816000
Asia,Indonesia,1997,199278000
Asia,Indonesia,2002,211060000
Asia,Indonesia,2007,223547000
Asia,Iran,1952,17272000
Asia,Iran,1957,19792000
Asia,Iran,1962,22874000
Asia,Iran,1967,26538000
Asia,Iran,1972,30614000
Asia,Iran,1977,35480679
Asia,Iran,1982,43072751
Asia,Iran,1987,51889696
Asia,Iran,1992,60397973
Asia,Iran,1997,63327987
Asia,Iran,2002,66907826
Asia,Iran,2007,69453570
Asia,Iraq,1952,5441766
Asia,Iraq,1957,6248643
Asia,Iraq,1962,7240260
Asia,Iraq,1967,8519282
Asia,Iraq,1972,10061506
Asia,Iraq,1977,11882916
Asia,Iraq,1982,14173318
Asia,Iraq,1987,16543189
Asia,Iraq,1992,17861905
Asia,Iraq,1997,20775703
Asia,Iraq,2002,24001816
Asia,Iraq,2007,27499638
Europe,Ireland,1952,2952156
Europe,Ireland,1957,2878220
Europe,Ireland,1962,2830000
Europe,Ireland,1967,2900100
Europe,Ireland,1972,3024400
Europe,Ireland,1977,3271900
Europe,Ireland,1982,3480000
Europe,Ireland,1987,3539900
Europe,Ireland,1992,3557761
Europe,Ireland,1997,3667233
Europe,Ireland,2002,3879155
Europe,Ireland,2007,4109086
Asia,Israel,1952,1620914
Asia,Israel,1957,1944401
Asia,Israel,1962,2310904
Asia,Israel,1967,2693585
Asia,Israel,1972,3095893
Asia,Israel,1977,3495918
Asia,Israel,1982,3858421
Asia,Israel,1987,4203148
Asia,Israel,1992,4936550
Asia,Israel,1997,5531387
Asia,Israel,2002,6029529
Asia,Israel,2007,6426679
Europe,Italy,1952,47666000
Europe,Italy,1957,49182000
Europe,Italy,1962,50843200
Europe,Italy,1967,52667100
Europe,Italy,1972,54365564
Europe,Italy,1977,56059245
Europe,Italy,1982,56535636
Europe,Italy,1987,56729703
Europe,Italy,1992,56840847
Europe,Italy,1997,57479469
Europe,Italy,2002,57926999
Europe,Italy,2007,58147733
Americas,Jamaica,1952,1426095
Americas,Jamaica,1957,1535090
Americas,Jamaica,1962,1665128
Americas,Jamaica,1967,1861096
Americas,Jamaica,1972,1997616
Americas,Jamaica,1977,2156814
Americas,Jamaica,1982,2298309
Americas,Jamaica,1987,2326606
Americas,Jamaica,1992,2378618
Americas,Jamaica,1997,2531311
Americas,Jamaica,2002,2664659
Americas,Jamaica,2007,2780132
Asia,Japan,1952,86459025
Asia,Japan,1957,91563009
Asia,Japan,1962,95831757
Asia,Japan,1967,100825279
Asia,Japan,1972,107188273
Asia,Japan,1977,113872473
Asia,Japan,1982,118454974
Asia,Japan,1987,122091325
Asia,Japan,1992,124329269
Asia,Japan,1997,125956499
Asia,Japan,2002,127065841
Asia,Japan,2007,127467972
Asia,Jordan,1952,607914
Asia,Jordan,1957,746559
Asia,Jordan,1962,933559
Asia,Jordan,1967,1255058
Asia,Jordan,1972,1613551
Asia,Jordan,1977,1937652
Asia,Jordan,1982,2347031
Asia,Jordan,1987,2820042
Asia,Jordan,1992,3867409
Asia,Jordan,1997,4526235
Asia,Jordan,2002,5307470
Asia,Jordan,2007,6053193
Africa,Kenya,1952,6464046
Africa,Kenya,1957,7454779
Africa,Kenya,1962,8678557
Africa,Kenya,1967,10191512
Africa,Kenya,1972,12044785
Africa,Kenya,1977,14500404
Africa,Kenya,1982,17661452
Africa,Kenya,1987,21198082
Africa,Kenya,1992,25020539
Africa,Kenya,1997,28263827
Africa,Kenya,2002,31386842
Africa,Kenya,2007,35610177
Asia,"Korea, Dem. Rep.",1952,8865488
Asia,"Korea, Dem. Rep.",1957,9411381
Asia,"Korea, Dem. Rep.",1962,10917494
Asia,"Korea, Dem. Rep.",1967,12617009
Asia,"Korea, Dem. Rep.",1972,14781241
Asia,"Korea, Dem. Rep.",1977,16325320
Asia,"Korea, Dem. Rep.",1982,17647518
Asia,"Korea, Dem. Rep.",1987,19067554
